1913,3,8/15/1913,6,Extension of Polling Hours Act 1913 c. 6,An Act to extend the Hours of Polling at Parliamentary Elections,20,2012
1913,3,8/15/1913,7,Children (Employment Abroad) Act 1913 c. 7,"An Act to prohibit and restrict Children and Young Persons being taken out of the United Kingdom with a view to singing, playing, performing, or being exhibited, for profit.",5,506
1913,3,8/15/1913,8,"Crown Lands Act, 1913 c. 8",An Act to authorise the execution of instruments on behalf of the Commissioners of Woods.,21,2100
1913,3,8/15/1913,9,"Herring Fishery (Branding) Act, 1913 c. 9",An Act to provide for the Branding of Barrels filled with Cured Herrings in England and Wales,4,408
1913,3,8/15/1913,10,"Government of the Soudan Loan Act, 1913 c. 10",An Act to authorise the Treasury to guarantee the Payment of Interest on a Loan to be raised by the Government of the Soudan,21,2105
1913,3,8/15/1913,11,Post Office Act 1913 c. 11,"An Act to enable Newspapers published in British Possessions or Protectorates to be registered and be treated as Registered Newspapers under the Post Office Act, 1908",17,1707
1913,3,8/15/1913,12,Education (Scotland) Act 1913 c.12,An Act to enable the provision of Medical Treatment for Children attending Schools in Scotland,6,602
1913,3,8/15/1913,13,Education (Scotland) (Glasgow Electoral Districts) Act 1913 c.13,An Act to divide the District of the School Board of Glasgow for Electoral Purposes,6,602
1913,3,8/15/1913,14,"Public Buildings Expenses Act, 1913 c. 14","An Act to amend section nine of the Finance Act, 1908.",20,2008
1913,3,8/15/1913,15,"Expiring Laws Continuance Act, 1913 c. 15",An Act to continue various Expiring Laws.,20,2011
1913,3,8/15/1913,16,"Foreign Jurisdiction Act, 1913 c. 16","An Act to amend the Foreign Jurisdiction Act, 1890.",12,1204
1913,3,8/15/1913,17,"Fabrics (Misdescription) Act, 1913 c. 17",An Act to prevent the Misdescription of Fabrics,15,1525
1913,3,8/15/1913,18,"Isle of Man (Customs) Act, 1913 c. 18",An Act to amend the Law with respect to Customs in the Isle of Man,20,2009
